image data,label
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 205 200 199]
 [246 246 246 ... 212 205 209]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 246 237]
 [246 246 246 ... 246 233 228]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 245 253 255]
 [246 246 246 ... 219 222 234]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 250 228]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 245 253 255]
 [246 246 246 ... 219 222 234]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [250 251 253 ... 189 183 180]
 [220 222 225 ... 221 217 209]
 [ 66  66  66 ...  66  66  66]]",subject05
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 181 176 160]
 [237 237 232 ... 167 166 173]
 [ 66  66  66 ...  67  67  67]]",subject11
"[[117 128 128 ... 255 255 255]
 [246 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  93  89  90]
 [246 246 246 ... 102  98  99]
 [ 66  66  66 ...  68  68  68]]",subject05
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 249 244]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 254 254 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 248 251 255]
 [246 246 246 ... 246 245 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 236 210 233]
 [246 246 246 ... 220 201 236]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 226 245 255]
 [246 246 246 ... 218 215 232]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[119 128 128 ... 255 255 255]
 [245 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  91  89  90]
 [246 246 246 ... 102  98 100]
 [ 66  66  66 ...  68  68  68]]",subject05
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 246 229]
 [246 246 246 ... 244 232 209]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 246 237]
 [246 246 246 ... 246 233 228]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 238 234 237]
 [246 246 246 ... 233 230 234]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 241 253 255]
 [246 246 246 ... 231 231 244]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[129 120 101 ... 249 248 252]
 [249 237 208 ... 253 245 252]
 [244 227 243 ... 254 245 252]
 ...
 [249 250 255 ... 155 162 165]
 [245 244 246 ... 146 153 158]
 [ 66  66  66 ...  67  67  67]]",subject12
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[105  90  97 ... 224 224 230]
 [226 201 218 ... 237 237 234]
 [254 252 253 ... 254 254 253]
 ...
 [188 182 184 ... 237 217 218]
 [184 178 178 ... 220 193 194]
 [ 67  67  67 ...  66  66  66]]",subject06
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 245 246]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[107 114 126 ... 255 255 245]
 [228 238 249 ... 255 254 246]
 [252 255 255 ... 245 254 245]
 ...
 [255 255 255 ... 187 186 183]
 [246 246 246 ... 178 175 173]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 254 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  25  23  24]
 [244 246 246 ...  29  27  28]
 [ 66  66  66 ...  69  69  69]]",subject05
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject12
"[[128 128 128 ... 255 252 254]
 [249 249 249 ... 255 247 252]
 [255 255 255 ... 255 253 255]
 ...
 [255 255 255 ...  52  48  48]
 [246 246 246 ...  53  49  49]
 [ 66  66  66 ...  68  68  68]]",subject12
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 234 210 196]
 [246 246 246 ... 220 200 189]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 251 255]
 [246 246 246 ... 242 240 246]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[128 128 128 ... 213 221 241]
 [249 249 249 ... 214 217 241]
 [255 255 255 ... 227 218 227]
 ...
 [255 255 255 ... 196 197 206]
 [246 246 246 ... 188 193 207]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[106  92  99 ... 225 226 234]
 [228 206 222 ... 240 239 237]
 [254 252 254 ... 254 254 254]
 ...
 [189 185 185 ... 240 220 219]
 [185 182 180 ... 224 197 198]
 [ 66  67  67 ...  66  66  66]]",subject06
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 234 240 249]
 [246 246 246 ... 212 204 217]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 208 202 202]
 [246 246 246 ... 213 206 209]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 251 243]
 [246 246 246 ... 246 236 231]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 246 253 255]
 [246 246 246 ... 221 222 234]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[128 124 117 ... 195 184 184]
 [249 249 248 ... 191 182 189]
 [255 255 255 ... 181 180 204]
 ...
 [160 161 160 ...  45  48  49]
 [158 158 155 ...  49  48  44]
 [ 67  67  67 ...  68  68  68]]",subject11
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 239 253 255]
 [246 246 246 ... 229 230 244]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  59  56  56]
 [239 237 232 ...  62  50  48]
 [ 66  66  66 ...  68  68  68]]",subject11
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  45  47  49]
 [246 246 246 ...  47  46  48]
 [ 66  66  66 ...  68  68  68]]",subject06
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 249 245]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 239 252 255]
 [246 246 246 ... 230 230 244]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 245]
 [249 249 249 ... 255 255 242]
 [255 255 255 ... 255 253 234]
 ...
 [255 255 255 ...  60  59  60]
 [246 246 246 ...  60  59  59]
 [ 66  66  66 ...  68  68  68]]",subject02
"[[106  92  99 ... 224 224 234]
 [228 206 222 ... 239 238 237]
 [254 252 254 ... 254 254 254]
 ...
 [200 196 195 ... 236 216 216]
 [197 195 191 ... 235 204 194]
 [ 66  66  66 ...  66  66  66]]",subject06
"[[107 115 110 ... 157 150 163]
 [233 241 234 ... 165 155 167]
 [239 240 228 ... 164 156 172]
 ...
 [232 222 239 ... 128 125 122]
 [230 219 231 ... 124 114 117]
 [ 66  66  66 ...  67  67  67]]",subject15
"[[121 108  98 ... 252 247 245]
 [249 237 218 ... 255 249 247]
 [244 231 233 ... 255 255 254]
 ...
 [245 251 255 ... 228 223 215]
 [246 246 244 ... 206 201 208]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 224 244 253]
 [246 246 246 ... 214 215 231]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 230 247 255]
 [246 246 246 ... 222 222 237]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[119 128 128 ... 255 255 255]
 [246 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  91  88  89]
 [246 246 246 ... 101  98 100]
 [ 66  66  66 ...  68  68  68]]",subject05
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 248 239]
 [246 246 246 ... 246 235 230]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[110 116 124 ... 252 233 233]
 [242 248 249 ... 254 243 251]
 [255 255 255 ... 255 254 255]
 ...
 [236 254 255 ... 191 164 165]
 [233 243 240 ... 188 161 155]
 [ 66  66  66 ...  66  67  67]]",subject12
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[107  93 101 ... 227 225 233]
 [230 206 222 ... 242 240 240]
 [254 252 254 ... 254 254 254]
 ...
 [196 192 192 ... 240 218 218]
 [192 190 190 ... 223 196 197]
 [ 66  66  66 ...  66  66  66]]",subject06
"[[108 113 125 ... 255 255 244]
 [224 237 249 ... 255 255 247]
 [252 255 255 ... 248 255 246]
 ...
 [255 255 255 ... 188 186 183]
 [246 246 246 ... 179 177 172]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[106  92  99 ... 224 224 234]
 [228 206 222 ... 239 238 237]
 [254 252 254 ... 254 254 254]
 ...
 [200 196 195 ... 236 216 216]
 [197 195 191 ... 235 204 194]
 [ 66  66  66 ...  66  66  66]]",subject06
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 240 212 233]
 [246 246 246 ... 224 205 238]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 251]
 [246 246 246 ... 246 242 239]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 244 233 211]
 [246 246 246 ... 233 221 195]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 139 107  74]
 [239 237 231 ... 135 109  76]
 [ 66  66  66 ...  67  67  68]]",subject11
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 203 196 197]
 [246 246 246 ... 209 203 205]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[119 128 128 ... 255 255 255]
 [246 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  91  89  91]
 [246 246 246 ... 102  98 101]
 [ 66  66  66 ...  68  68  68]]",subject05
"[[128 128 128 ... 243 224 249]
 [249 249 249 ... 240 226 250]
 [255 255 255 ... 251 237 251]
 ...
 [255 255 255 ... 251 237 231]
 [246 246 246 ... 235 226 226]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 210 189 203]
 [249 249 249 ... 208 190 200]
 [255 255 255 ... 231 197 191]
 ...
 [255 255 255 ...  23  23  25]
 [246 246 246 ...  27  26  27]
 [ 66  66  66 ...  69  69  69]]",subject03
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 252 253 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 254 251 255]
 [246 246 246 ... 243 241 246]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[107 114 125 ... 255 254 242]
 [227 237 249 ... 255 255 247]
 [251 255 255 ... 248 255 244]
 ...
 [255 255 255 ... 180 176 173]
 [246 246 246 ... 170 169 166]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[ 96 110 122 ... 255 255 255]
 [218 239 249 ... 255 255 255]
 [228 255 255 ... 255 255 255]
 ...
 [111 112 113 ... 160 157 160]
 [109 108 110 ... 160 156 159]
 [ 67  67  67 ...  67  67  67]]",subject13
"[[118 108 115 ... 255 255 255]
 [248 236 242 ... 255 255 255]
 [251 247 254 ... 255 255 255]
 ...
 [ 78  78  76 ... 255 255 255]
 [ 78  78  78 ... 246 246 246]
 [ 68  68  68 ...  66  66  66]]",subject06
"[[128 128 128 ... 255 239 247]
 [249 249 249 ... 255 236 240]
 [255 255 255 ... 255 242 231]
 ...
 [255 255 255 ... 237 212 192]
 [246 246 246 ... 211 185 180]
 [ 66  66  66 ...  66  66  67]]",subject07
"[[128 128 128 ... 255 255 251]
 [249 249 249 ... 255 255 251]
 [255 255 255 ... 255 250 238]
 ...
 [255 255 255 ...  60  60  61]
 [246 246 246 ...  59  58  59]
 [ 66  66  66 ...  68  68  68]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject06
"[[117 117 107 ... 255 255 255]
 [248 247 234 ... 255 255 255]
 [254 240 236 ... 255 255 255]
 ...
 [105 100  95 ... 255 255 255]
 [104 100  98 ... 246 246 246]
 [ 68  68  68 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 250 238]
 [246 246 246 ... 246 236 227]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[108 116 127 ... 255 255 244]
 [231 240 249 ... 255 255 250]
 [253 255 255 ... 250 255 246]
 ...
 [255 255 255 ... 185 185 181]
 [246 246 246 ... 176 174 170]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 249 245]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  62  59  56]
 [240 238 231 ...  74  57  51]
 [ 66  66  66 ...  68  68  68]]",subject11
"[[ 36  36  35 ... 233 205 186]
 [ 90  90  87 ... 226 202 180]
 [ 87  88  88 ... 221 206 201]
 ...
 [ 58  62  52 ... 187 172 160]
 [ 60  63  53 ... 183 161 145]
 [ 68  68  68 ...  67  67  67]]",subject01
"[[104 102 102 ... 255 255 255]
 [221 217 217 ... 255 255 255]
 [215 210 237 ... 255 255 255]
 ...
 [ 80  82  85 ... 255 255 255]
 [ 79  81  84 ... 246 246 246]
 [ 68  68  68 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 252 240]
 [246 246 246 ... 246 239 221]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[ 99  90  87 ... 255 255 255]
 [214 197 191 ... 255 255 255]
 [204 195 202 ... 255 255 255]
 ...
 [102  96  86 ... 255 255 254]
 [ 99  91  84 ... 245 244 245]
 [ 68  68  68 ...  66  66  66]]",subject15
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 247 242]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 205 199 198]
 [246 246 246 ... 213 205 208]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[ 84  86  81 ... 243 242 231]
 [187 189 178 ... 248 240 217]
 [185 186 169 ... 254 244 213]
 ...
 [ 74  71  68 ... 221 202 201]
 [ 74  71  68 ... 210 193 200]
 [ 68  68  68 ...  66  66  66]]",subject08
"[[114 122 127 ... 255 243 242]
 [248 249 249 ... 255 251 253]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 181 155 155]
 [246 246 246 ... 179 152 146]
 [ 66  66  66 ...  67  67  67]]",subject12
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 176 160 133]
 [236 235 230 ... 168 162 145]
 [ 66  66  66 ...  67  67  67]]",subject11
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 247 241]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[129 120 101 ... 249 248 252]
 [249 237 208 ... 253 245 252]
 [244 227 243 ... 254 245 252]
 ...
 [249 250 255 ... 155 162 165]
 [245 244 246 ... 146 153 158]
 [ 66  66  66 ...  67  67  67]]",subject12
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 216 214 222]
 [246 246 246 ... 195 198 212]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[113 119 126 ... 255 244 242]
 [245 248 249 ... 255 249 252]
 [255 255 255 ... 255 255 255]
 ...
 [245 255 255 ... 195 170 169]
 [238 246 246 ... 194 165 159]
 [ 66  66  66 ...  66  67  67]]",subject12
"[[107 114 126 ... 255 255 244]
 [228 238 249 ... 255 255 247]
 [252 255 255 ... 249 255 246]
 ...
 [255 255 255 ... 185 183 180]
 [246 246 246 ... 175 174 171]
 [ 66  66  66 ...  67  67  67]]",subject02
